DEPT,GR,LLD,LLS,DTC,DTS,NPHI,RHOB,DCALI_FINAL,WELL
5245.8,73.12,279.34,301.57,53.23000591,,0.03,2.44,0.2,Well 8
3562.05,81.27,521.8,7.55,,,,,,Well 9
6720,104.35,404000.3,300.2,51.2274853,87.01672307,0.02,2.67,0.13,Well 8
3484.7784,107.1185,1335.0924,351.522,50.35794,89.24301,0.0979,2.7032,1.0622,Well 1
3531.718,247.601,990.8,95.722,53.32,,0.049,2.599,0.201,Well 3
4095.75,115.8877,909.8364,167.1645,,,7.6908,2.668,0.2927,Well 4
4335.75,92.59,28.83,3.45,62.71449,100.4101075,0.22,2.37,0.7,Well 11
3441.6492,94.0919,626.3278,222.6381,52.55779,92.54393,0.1282,2.7001,1.2058,Well 1
4088.5872,79.31923,270.0363,45.88937,54.54896824,99.61967276,0.13358,2.71082,0.14002,Well 10
4969.2,68.86,23062.8,30.45,,,,,,Well 9
4420.65,104.76,311.47,669.22,54.50004,102.568473,0.13,2.49,0.09,Well 11
3238.5,34.51,,,,,0.546,2.007,0.311,Well 3
3667.2012,83.2147,1585.6281,160.0972,48.50735,92.1796,0.0531,2.7295,0.77,Well 1
4426.7628,222.0559,24139.69,250.2823,51.18709837,87.38763105,0.0219,2.60077,0.00363,Well 10
4515.0024,102.3939,727.6061,120.0157,57.61036446,98.81665407,0.08697,2.62423,0.09741,Well 10
4555.236,78.29453,465.9993,110.6274,59.47475975,104.3247843,0.09004,2.63428,0.09676,Well 10
3998.5188,79.31654358,3777.912598,69.44644928,49.57157517,93.79457092,0.157926664,2.667926788,0.097926624,Well 5
5067.75,122.3612,286.0954,402.4488,51.6883,,4.628,2.7006,0.2429,Well 4
4273.05,72.51,4101.05,909.58,,,,,,Well 7
4885.2,112.7,2726.2,208.95,59.8786,94.2882048,0.06,2.58,0.25,Well 11
6321,92.73,732.63,141.75,55.56277138,96.46346591,0.04,2.62,0.04,Well 8
4706.25,122.41,1348.52,1048.34,52.95927,92.97374932,0.05,2.59,0.15,Well 11
4655.1,124.67,10717.54,1774.73,52.72347,89.63400066,0.06,2.6,0.11,Well 11
4230.15,150,44649.76,79363.56,53.60054,91.19942604,0.05,2.58,0.04,Well 11
5390.55,67.65,80.05,90.64,55.29588234,,0.04,2.53,0.33,Well 8
3693.75,93.2146,175.6209,68.7627,59.21,,14.6544,2.6145,0.2064,Well 4
3817.65,92.79,378.0799866,14.58,,,,,,Well 6
5118.15,94.92,2321.16,1051.56,,,,,,Well 6
4012.54,111.227,1499.861,200.799,54.23,98.533,0.098,2.293,-2.167,Well 3
3667.8108,125.7977448,1775.465698,383.4259338,53.7900238,91.41004944,0.100726672,2.682180166,0.202906951,Well 5
5474.4,98.3,1199.79,916.87,53.05616868,,0.03,2.69,0.09,Well 8
3904.5,129.68,1401.78,10595.26,55.24753,101.590234,0.08,2.5,0.07,Well 11
4841.85,104.95,1232.5,124.01,51.81049026,93.92169843,0.03,2.53,0.16,Well 8
3848.85,82.96,203.9400024,56.18,,,,,,Well 6
4022.141,89.008,286.549,72.127,54.951,104.66,0.193,2.309,-2.336,Well 3
5315.4,125.7726,433.3231,257.695,54.4454,,10.6266,2.7069,0.1675,Well 4
3650.4,75.47,224.13,153.79,59.15582864,102.7805933,0.05,2.64,0.15,Well 12
3617.7,115.95,514.73,204.5,,,,,-0.0125,Well 2
4163.4,81.79,460.62,220.81,57.6641779,99.43740913,0.09,2.53,0.18,Well 12
3764.7,94.694,2259.3213,516.918,,,3.5084,2.7697,0.1215,Well 4
5056.2,64.2,206.74,139.83,54.25070238,,0.11,2.46,0.32,Well 8
4005,90.96,916.05,1.87,,,,,,Well 6
4773.75,67.9165,65.5018,4.6291,59.2597,,22.3376,2.6119,0.7454,Well 4
3672,222.41,765.45,216.38,,,,,-0.0778,Well 2
3822.3,104.1589,1865.7251,240.8539,56.9678,,11.3505,2.6439,0.1162,Well 4
3616.8,68.42,2002.6,7.91,,,,,,Well 9
4205.1,162.03,4818.09,266.44,53.55633,96.23358567,0.03,2.66,0.09,Well 11
4083.9,62.24,1096.32,4228.7,,,,,,Well 7
4306.6716,153.7806,1027.931,167.8862,53.88946564,87.90126328,0.0533,2.68152,0.05568,Well 10
3789.9,137.66,873.24,79.98,55.07584,101.4556531,0.03,2.65,0.15,Well 11
3559.5,271.22,106.16,90.57,,,,,-0.0125,Well 2
4296.15,98.16,21.76000023,1.28,80.31927905,125.9205009,0.2,2.31,0.91,Well 8
4683.45,97.363,19.7974,17.1586,60.6429,,15.4296,2.5468,0.3043,Well 4
4238.4,108.28,385.38,61.96,,,,,,Well 6
4484.55,84.57,666.11,171.87,51.03380969,89.8538852,0.03,2.83,0.02,Well 8
4981.05,84.57,1796.12,3333.43,55.44286,95.37849181,0.08,2.55,0.11,Well 11
3999.9,74.8,6359.06,13756.04,,,,,,Well 7
4455.3,106.6946,344.976,218.2689,54.9048,,8.7505,2.7096,0.2571,Well 4
4632.9,87.91,2301.47,18.81,,,,,,Well 9
4844.25,115.5877,28.4128,6.1469,,,18.4918,2.5653,0.5561,Well 4
3986.85,73.34,275.81,275.45,,,,,,Well 7
4371.45,126.66,1321.16,8217.05,53.27026,91.81286472,0.08,2.53,0.14,Well 11
4203.6,102.61,435.38,157.88,,,,,,Well 6
6812.1,119.2,50843.61,1906.52,51.76128375,87.53269992,0.01,2.73,0.08,Well 8
4200,166.83,1000,298.74,,,,,,Well 2
3732.75,103,12850.62,92231.12,,,,,,Well 7
3575.7612,58.4732,217.5481,84.494,57.25542,105.70196,0.1671,2.5283,1.9731,Well 1
4220.2608,136.8162,4959.263,130.1423,51.44488501,101.1314441,0.06185,2.65421,0.06237,Well 10
4935,109.45,6581.92,2696.22,52.19868,90.19862024,0.09,2.51,0.08,Well 11
3949.446,186.6409,399.4334,14.52789974,57.52929,101.96129,0.0448,2.6235,0.7011,Well 1
